age,box_ddpm,box_odpm,d_dpm,d_dpm_rank,dpm,dpm_rank,nba_id,o_dpm,o_dpm_rank,on_off_ddpm,on_off_odpm,player_name,season,team_name,tm_id
26.4,-0.65,-0.12,-0.82,348,-0.85,166,179,-0.03,123,-1.1,0.2,Bryant Stith,1997,Denver Nuggets,1610612743
27.9,-1.62,-0.92,-1.46,422,-2.4,348,180,-0.94,217,-0.82,-1.07,John Crotty,1997,Miami Heat,1610612748
32.1,-1.99,0.57,-1.95,451,-1.51,238,181,0.44,86,-1.77,-0.46,Kenny Smith,1997,Denver Nuggets,1610612743
28,-0.84,-0.85,-0.66,313,-1.46,234,182,-0.81,202,-0.38,-0.68,Billy Owens,1997,Sacramento Kings,1610612758
28.2,-0.23,-1.07,-0.23,181,-1.31,209,183,-1.08,233,-0.21,-1.2,Bison Dele,1997,Chicago Bulls,1610612741
27.3,-0.07,-0.77,0.23,95,-0.34,124,184,-0.57,178,0.67,-0.1,Bobby Phills,1997,Cleveland Cavaliers,1610612739
24.2,2.3,2,1.77,11,3.51,6,185,1.74,30,1.2,1.29,Chris Webber,1997,Washington Wizards,1610612764
36.2,-0.28,-0.43,-0.22,178,-0.89,168,187,-0.67,187,-0.02,-1.87,Terry Cummings,1997,Oklahoma City Thunder,1610612760
28.8,0.54,-2.97,0.51,64,-2.41,349,190,-2.92,424,0.35,-2.49,Duane Causwell,1997,Sacramento Kings,1610612758
28.7,-0.23,0.27,-0.45,247,-0.16,111,192,0.29,98,-0.78,0.35,Dennis Scott,1997,Orlando Magic,1610612753
30.4,0.27,0.72,0.41,75,1.21,45,193,0.79,62,0.55,0.92,Anthony Mason,1997,Charlotte Hornets,1610612766
26.9,0.65,0.05,0.1,115,0.04,96,195,-0.05,125,-0.83,-0.34,Lee Mayberry,1997,Memphis Grizzlies,1610612763
26.3,-0.47,-1.84,-0.5,265,-2.2,332,197,-1.69,312,-0.63,-0.9,Scott Burrell,1997,Golden State Warriors,1610612744
30.5,-0.96,-0.48,-0.41,232,-0.98,177,198,-0.57,178,0.32,-0.77,Danny Ferry,1997,Cleveland Cavaliers,1610612739
33,-0.5,-0.67,-0.52,273,-1.21,200,199,-0.7,191,-0.7,-1.38,Reggie Williams,1997,Brooklyn Nets,1610612751
32.2,0.68,-3.04,1.01,30,-1.94,293,201,-2.95,427,1.55,-2.69,Chris Dudley,1997,Portland Trail Blazers,1610612757
31.7,-0.54,-0.83,-0.53,277,-1.4,226,202,-0.86,208,-0.5,-1.34,Gary Grant,1997,Miami Heat,1610612748
32.8,0.61,-0.36,0.63,54,0.17,86,203,-0.47,166,0.71,-1.11,Nate McMillan,1997,Oklahoma City Thunder,1610612760
34.1,-0.11,2.45,-0.02,139,2.04,21,204,2.06,20,0.06,1.43,Jeff Hornacek,1997,Utah Jazz,1610612762
27.4,-0.35,2.07,-0.23,181,1.58,32,208,1.81,26,0,1.04,Sam Cassell,1997,Brooklyn Nets,1610612751
32.8,-0.97,0.96,-1.18,403,-0.36,127,209,0.82,59,-1.5,0.46,Dell Curry,1997,Charlotte Hornets,1610612766
26.9,0.19,2.29,0.51,64,2.94,10,210,2.43,14,0.89,2.69,Terrell Brandon,1997,Cleveland Cavaliers,1610612739
