season,team_tier,pos,player,age,tm,pts_won,pts_max,share,g,mp,pts,trb,ast,stl,blk,fg_percent,x3p_percent,ft_percent,ws,ws_48,dws,dbpm,d_rtg,defense_team
2018,2nd,C,Joel Embiid,23,PHI,90,200,0.45,63,30.3,22.9,11,3.2,0.6,1.8,0.483,0.308,0.769,6.2,0.155,3.8,1.3,100,2nd Team
2018,2nd,F,Draymond Green,27,GSW,86,200,0.43,70,32.7,11,7.6,7.3,1.4,1.3,0.454,0.301,0.775,6.1,0.127,3.4,1.9,105,2nd Team
2018,2nd,F,Al Horford,31,BOS,85,200,0.425,72,31.6,12.9,7.4,4.7,0.6,1.1,0.489,0.429,0.783,7.8,0.165,3.8,2,103,2nd Team
2018,2nd,G,Dejounte Murray,21,SAS,80,200,0.4,81,21.5,8.1,5.7,2.9,1.2,0.4,0.443,0.265,0.709,3.2,0.087,3.4,2.2,101,2nd Team
2018,2nd,G,Jimmy Butler,28,MIN,79,200,0.395,59,36.7,22.2,5.3,4.9,2,0.4,0.474,0.35,0.854,8.9,0.198,1.8,0.7,110,2nd Team
2018,ORV,G,Chris Paul,32,HOU,74,200,0.37,58,31.8,18.6,5.4,7.9,1.7,0.2,0.46,0.38,0.919,10.2,0.265,2.7,1.8,105,Other Votes
2018,ORV,F,Paul George,27,OKC,69,200,0.345,79,36.6,21.9,5.7,3.3,2,0.5,0.43,0.401,0.822,8.9,0.147,3.9,0.6,106,Other Votes
2018,ORV,F,Giannis Antetokounmpo,23,MIL,43,200,0.215,75,36.7,26.9,10,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207,3.6,0.9,106,Other Votes
2018,ORV,F,Kevin Durant,29,GSW,31,200,0.155,68,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215,2.9,0.6,107,Other Votes
2018,ORV,G,Klay Thompson,27,GSW,24,200,0.12,73,34.3,20,3.8,2.5,0.8,0.5,0.488,0.44,0.837,4.9,0.094,1.8,-2.1,111,Other Votes
2018,ORV,G,Josh Richardson,24,MIA,22,200,0.11,81,33.2,12.9,3.5,2.9,1.5,0.9,0.451,0.378,0.845,5.4,0.096,3.5,1.3,106,Other Votes
2018,ORV,G,Marcus Smart,23,BOS,18,200,0.09,54,29.9,10.2,3.5,4.8,1.3,0.4,0.367,0.301,0.729,1.9,0.056,2.5,1,104,Other Votes
2018,ORV,F,Andre Roberson,26,OKC,17,200,0.085,39,26.6,5,4.7,1.2,1.2,0.9,0.537,0.222,0.316,2.2,0.1,1.3,1.8,107,Other Votes
2018,ORV,G,Jaylen Brown,21,BOS,16,200,0.08,70,30.7,14.5,4.9,1.6,1,0.4,0.465,0.395,0.644,4.5,0.1,3.2,0.3,105,Other Votes
2018,ORV,G,Ben Simmons,21,PHI,16,200,0.08,81,33.7,15.8,8.1,8.2,1.7,0.9,0.545,0,0.56,9.2,0.162,5,2.5,102,Other Votes
2018,ORV,F,P.J. Tucker,32,HOU,13,200,0.065,82,27.8,6.1,5.6,0.9,1,0.3,0.39,0.371,0.717,3.9,0.082,3,0.8,106,Other Votes
2018,ORV,G,Kyle Lowry,31,TOR,7,200,0.035,78,32.2,16.2,5.6,6.9,1.1,0.2,0.427,0.399,0.854,10.2,0.194,3.1,0.5,107,Other Votes
2018,ORV,G,Russell Westbrook,29,OKC,7,200,0.035,80,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166,4.5,1.5,104,Other Votes
2018,ORV,G,Danny Green,30,SAS,6,200,0.03,70,25.6,8.6,3.6,1.6,0.9,1.1,0.387,0.363,0.769,2.9,0.078,2.9,1.4,104,Other Votes
2018,ORV,F,Luc Mbah a Moute,31,HOU,5,200,0.025,61,25.6,7.5,3,0.9,1.2,0.4,0.481,0.364,0.684,2.8,0.087,2.1,1.4,106,Other Votes
2018,ORV,G,Ricky Rubio,27,UTA,4,200,0.02,77,29.3,13.1,4.6,5.3,1.6,0.1,0.418,0.352,0.866,5.3,0.112,3.8,1.5,103,Other Votes
2018,ORV,C,Andre Drummond,24,DET,3,200,0.015,78,33.7,15,16,3,1.5,1.6,0.529,0,0.605,10.3,0.188,5.7,1.7,99,Other Votes
2018,ORV,G,Gary Harris,23,DEN,3,200,0.015,67,34.4,17.5,2.6,2.9,1.8,0.2,0.485,0.396,0.827,5.5,0.114,1.5,-0.2,112,Other Votes
2018,ORV,F,LaMarcus Aldridge,32,SAS,2,200,0.01,75,33.5,23.1,8.5,2,0.6,1.2,0.51,0.293,0.837,10.9,0.209,3.6,-0.4,105,Other Votes
2018,ORV,F,Al-Farouq Aminu,27,POR,2,200,0.01,69,30,9.3,7.6,1.2,1.1,0.6,0.395,0.369,0.738,4.2,0.097,3.2,1.1,104,Other Votes
2018,ORV,G,Avery Bradley,27,TOT,2,200,0.01,46,31.2,14.3,2.5,2,1.1,0.2,0.414,0.369,0.768,-0.2,-0.007,1.2,-1,110,Other Votes
2018,ORV,C,Steven Adams,24,OKC,1,200,0.005,76,32.7,13.9,9,1.2,1.2,1,0.629,0,0.559,9.7,0.187,3,-0.6,107,Other Votes
2018,ORV,G,Will Barton,27,DEN,1,200,0.005,81,33.1,15.7,5,4.1,1,0.6,0.452,0.37,0.805,6.2,0.111,1.8,-0.4,112,Other Votes
2018,ORV,G,Eric Bledsoe,28,TOT,1,200,0.005,74,31.4,17.7,3.8,5,2,0.6,0.473,0.347,0.795,5.6,0.116,2.5,0.3,108,Other Votes
2018,ORV,F,Ed Davis,28,POR,1,200,0.005,78,18.9,5.3,7.4,0.5,0.4,0.7,0.582,0,0.667,5,0.164,2.5,0.6,103,Other Votes
2018,ORV,C,Derrick Favors,26,UTA,1,200,0.005,77,28,12.3,7.2,1.3,0.7,1.1,0.563,0.222,0.651,8,0.179,3.5,0.7,104,Other Votes
2018,ORV,F,LeBron James,33,CLE,1,200,0.005,82,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14,0.221,3,1.4,109,Other Votes
2018,ORV,C,DeAndre Jordan,29,LAC,1,200,0.005,77,31.5,12,15.2,1.5,0.5,0.9,0.645,NA,0.58,9.4,0.186,3.4,-0.3,105,Other Votes
2018,ORV,G,Damian Lillard,27,POR,1,200,0.005,73,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,0.227,2.7,0.3,109,Other Votes
2018,ORV,G,Donovan Mitchell,21,UTA,1,200,0.005,79,33.4,20.5,3.7,3.7,1.5,0.3,0.437,0.34,0.805,5.2,0.095,3.8,0.3,105,Other Votes
2018,ORV,G,Fred VanVleet,23,TOR,1,200,0.005,76,20,8.6,2.4,3.2,0.9,0.3,0.426,0.414,0.832,4.7,0.149,2,1,106,Other Votes
2019,1st,C,Rudy Gobert,26,UTA,196,200,0.98,81,31.8,15.9,12.9,2,0.8,2.3,0.669,NA,0.636,14.4,0.268,5.7,2.5,100,1st Team
2019,1st,F,Paul George,28,OKC,195,200,0.975,77,36.9,28,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201,4.9,1.6,105,1st Team
2019,1st,F,Giannis Antetokounmpo,24,MIL,193,200,0.965,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292,5.5,4.1,99,1st Team
2019,1st,G,Marcus Smart,24,BOS,145,200,0.725,80,27.5,8.9,2.9,4,1.8,0.4,0.422,0.364,0.806,5.3,0.116,3.1,2,107,1st Team
2019,1st,G,Eric Bledsoe,29,MIL,100,200,0.5,78,29.1,15.9,4.6,5.5,1.5,0.4,0.484,0.329,0.75,8.2,0.173,3.7,1.2,105,1st Team
2019,2nd,G,Jrue Holiday,28,NOP,90,200,0.45,67,35.9,21.2,5,7.7,1.6,0.8,0.472,0.325,0.768,5.4,0.108,1.9,-0.1,112,2nd Team
2019,2nd,G,Klay Thompson,28,GSW,82,200,0.41,78,34,21.5,3.8,2.4,1.1,0.6,0.467,0.402,0.816,5.3,0.095,2.3,-1.4,112,2nd Team
2019,2nd,C,Joel Embiid,24,PHI,80,200,0.4,64,33.7,27.5,13.6,3.7,0.7,1.9,0.484,0.3,0.804,8.7,0.194,3.8,0.9,104,2nd Team
2019,2nd,F,Draymond Green,28,GSW,61,200,0.305,66,31.3,7.4,7.3,6.9,1.4,1.1,0.445,0.285,0.692,4.3,0.1,3.2,2.7,106,2nd Team
